NUM_SOLICITUD,SUCURSAL,STATUS_SOLICITUD,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,PEOR_MOP_TARJETAS,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,SUMA_SALDOS_TOTAL,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
0,4357,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4500,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,5,89,0,0,0,0,0,0,25,Renta,Preparatoria
1,164,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4780,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,89,0,0,0,0,0,0,25,Familiares,Licenciatura
2,306,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4520,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,5,89,0,0,0,0,0,0,25,Familiares,Preparatoria
3,951,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5000,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,4,89,0,1,1665,450,0,0,25,Renta,Posgrado
4,522,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4950,RECIBOS DE NOMINA,,NO_CLIENTE,296000,Alto,BAJO,4,89,0,1,30397,1830,17050,0,25,Renta,Licenciatura
5,4644,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4780,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,28000,Alto,BAJO,3,90,0,0,1193,0,0,0,25,Propia,Licenciatura
6,7796,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5150,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,90,0,0,0,0,0,0,25,Familiares,Preparatoria
7,10025,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4725,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,1,90,0,0,0,0,0,0,25,Familiares,Preparatoria
8,50012,Cancelada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5019,SIN COMPROBANTE,,NO_CLIENTE,0,Alto,BAJO,5,91,0,0,0,0,0,0,25,Renta,Posgrado
9,165,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4746,PROPIEDAD ACTIVO FIJO,,NO_CLIENTE,0,Alto,BAJO,2,91,0,0,0,0,0,0,25,Propia,Licenciatura
10,4413,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5250,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,91,0,1,5853,250,0,0,25,Propia,Licenciatura
11,220,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5198,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,3,91,0,0,0,0,0,0,25,Propia,Licenciatura
12,682,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5019,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,1,91,0,0,0,0,0,0,25,Propia,Licenciatura
13,937,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5408,RECIBOS DE NOMINA,,NO_CLIENTE,76000,Alto,BAJO,3,91,0,0,0,0,0,0,25,Renta,Licenciatura
14,4339,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4961,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,5,91,0,0,0,0,0,0,25,Renta,Posgrado
15,4749,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5270,PAGOS PROV SEMESTRALES PF,,NO_CLIENTE,24500,Alto,BAJO,4,91,0,0,13174,0,0,0,25,Hipoteca,Posgrado
16,413,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,4983,PAGOS PROV SEMESTRALES PF,,NO_CLIENTE,0,Alto,BAJO,3,92,0,0,0,0,8677,0,25,Propia,Posgrado
17,9187,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5513,RECIBOS DE NOMINA,,NO_CLIENTE,0,Alto,BAJO,2,92,0,0,0,0,0,0,25,Propia,Licenciatura
18,8161,Rechazada,Rechazado,MALO,0,#N/A,#N/A,#N/A,5457,RECIBOS DE NOMINA,,NO_CLIENTE,7600,Alto,BAJO,5,92,0,0,0,0,0,0,25,Hipoteca,Posgrado
