STATUS_SOLICITUD_Aprobada,STATUS_SOLICITUD_Cancelada,STATUS_SOLICITUD_En_proceso,STATUS_SOLICITUD_Pendiente,STATUS_SOLICITUD_Rechazada,TIPO_CTE_BUENO,TIPO_CTE_MALO,TIPO_CTE_REGULAR,APROBACION_TC_Aprobado,APROBACION_TC_Pre-Aprobado,APROBACION_TC_Rechazado,TIPO_VIVIENDA_Familiares,TIPO_VIVIENDA_Hipoteca,TIPO_VIVIENDA_Propia,TIPO_VIVIENDA_Renta,ESCOLARIDAD_Licenciatura,ESCOLARIDAD_Posgrado,ESCOLARIDAD_Preparatoria,ESCOLARIDAD_Secundaria,NIVEL_RIESGO_Alto,NIVEL_RIESGO_Bajo,NIVEL_RIESGO_Medio ,NIVEL_RIESGO_Mínimo,COMPROBANTE_INGRESOS_CTA NOMINA DIGITAL,COMPROBANTE_INGRESOS_DECLARACION ANUAL PFAE,COMPROBANTE_INGRESOS_INVERSIONES,COMPROBANTE_INGRESOS_PAGOS PROV SEMESTRALES PF,COMPROBANTE_INGRESOS_PAGOS PROV SEMESTRALES PFAE,COMPROBANTE_INGRESOS_PROPIEDAD ACTIVO FIJO,COMPROBANTE_INGRESOS_RECIBOS DE NOMINA,COMPROBANTE_INGRESOS_SIN COMPROBANTE,SEGMENTO_CLIENTE_Alto A,SEGMENTO_CLIENTE_Alto B,SEGMENTO_CLIENTE_Alto C,SEGMENTO_CLIENTE_Medio A,SEGMENTO_CLIENTE_Medio B,SEGMENTO_CLIENTE_Medio C,SEGMENTO_CLIENTE_Medio D,CAPACIDAD_PAGO_TOTAL_ACEPTABLE,CAPACIDAD_PAGO_TOTAL_ALTO,CAPACIDAD_PAGO_TOTAL_BAJO
False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
